City,State,Shape,Duration,Summary,Posted,Date,Time
Severn,MD,Circle,60,"Orange craft, higher than most airplanes flying to BWI, No trail, disappeared into a cloud, never re-emerged. No sound emanating from c",7/22/2016,7/17/2016,1:00:00
Sooke (Canada),BC,Circle,15,Bright green sphere with long trailing tracer making 90 deg turns moving at a very high rate of speed across the night sky,7/22/2016,7/16/2016,23:30:00
Virginia Beach,VA,Circle,180,Yellow blinking light moving at high speed.,7/22/2016,7/16/2016,22:15:00
Oakland,NJ,Circle,60,"Orange orb, silently crossed sky over Oakland, NJ, wsw to ene.",7/22/2016,7/15/2016,23:30:00
Petersburg,VA,Circle,180,"I was watching a helicopter flying above me. As I followed it, I noticed a black round object hovering in its flight path.",7/15/2016,7/14/2016,16:02:00
Coloma,MI,Circle,30,Looked up by us 131 above coast line by coloma 7 exit; see at least 9 bright red yellow glowing spheres in triangle.((anonymous report),7/15/2016,7/11/2016,20:30:00
Greenville,SC,Circle,300,I saw 2 round flying objects that looked like stars with shiny halo like outer rings. They were flying in no certain pattern high in th,7/15/2016,7/11/2016,20:00:00
West Gardiner,ME,Circle,20,A blue circular object with external lights up to 6 I believe approximately 300 feet in size just a little greater than treetop level.,7/15/2016,7/10/2016,23:30:00
Owings Mills,MD,Circle,600,The UFO was circular and illuminated in blue and red. It moved from side to side and would hover and then it would stop moving and desc,7/15/2016,7/10/2016,22:45:00
Galion,OH,Circle,240,"Driving on 309, saw object flying fast then just stopped, turned around to find it again and nothing, it was big, nothing ive seen b4.",7/15/2016,7/10/2016,20:01:00
Lakeside,CA,Circle,1800,"Circle of multi-colored lights in Lakeside, CA, observed for 30 minutes.",7/15/2016,7/9/2016,21:15:00
Vancouver,WA,Circle,300,Saw a black rotating object looking east spinning rotating in place ...a small aircraft flew past object was higher than small plane.,7/15/2016,7/9/2016,21:00:00
Lathrop,MO,Circle,600,White disappearing ball of fire reappeared and then turned black.,7/15/2016,7/8/2016,21:30:00
Plainfield,IL,Circle,10,"I was at my neighborhood gazebo located next to a pond, when I saw a bright white light in the sky, it obviously wasn't a plane nor was",7/15/2016,7/8/2016,20:04:00
Hicksville,NY,Circle,10,"Large silver reddish circle passes in sky. Planes are not circles, balloons don't move 60 mph with no wind. ((anonymous report))",7/15/2016,7/8/2016,16:15:00
Shoreview,MN,Circle,15,Bright white ball 250 feet above ground surrounded by dense fog. Disappeared after my view was blocked by a tree.,7/15/2016,7/8/2016,5:00:00
Oscoda,MI,Circle,12,"2 bright orbs over Lake Huron, Oscoda, MI. Dog fight, playing around. anti gravity maneuvers.",7/15/2016,7/8/2016,0:00:00
Laguna Hills,CA,Circle,59,Starlike object observed.,7/15/2016,7/7/2016,21:47:00
Zachary,LA,Circle,420,As my husband prepared for work and was leaving he called my name with a since of urgency! I rushed outside and was amazed at what I s,7/15/2016,7/7/2016,21:30:00
Lincoln and Roseville,CA,Circle,1200,"4 bright lights were seen in the sky above Lincoln, California.",7/8/2016,7/6/2016,23:33:00
Holland,MI,Circle,300,It was a light blue light that came from behind us. As we were watching the fireworks around 11 p.m. the light crossed over heading awa,7/8/2016,7/4/2016,23:00:00
Yachats,OR,Circle,120,Bright purple craft hovered above eastward mountains,7/8/2016,7/4/2016,22:45:00
Oswego,IL,Circle,90,Orange fiery spree threw the night sky! ((anonymous report)),7/8/2016,7/4/2016,22:00:00
Buckley,WA,Circle,7200,"Red orbs over Buckley, WA.",7/8/2016,7/4/2016,22:00:00
Parker,CO,Circle,240,"2 Orange globes, smooth steady speed. 2nd group of 5 objects,sighting more changes in formation. But seemed to hover at times",7/8/2016,7/4/2016,21:30:00
Spring Hill,FL,Circle,60,Round lighted object with orange flames in middle. No sound.Traveling from west to east in a straight line. Saw it for about 1 minute t,7/8/2016,7/4/2016,21:30:00
Spring Hill,FL,Circle,60,Round object orange and red in color with flame in middle traveling from West to east...saw for about 1 min then disappeared,7/8/2016,7/4/2016,21:15:00
Spring Hill,FL,Circle,60,Round lighted object with orange flames in middle. No sound.Traveling from west to east in a straight line. Saw it for about 1 minute t,7/8/2016,7/4/2016,21:15:00
Elk Grove,CA,Circle,60,2 high altitude objects perform amazing maneuvers.,7/8/2016,7/4/2016,21:00:00
El Mirage,AZ,Circle,60,"Round orb purple haze around it with red in the middle , moved vary quickly down and to the left and hovered there ,seen it for maybe 1",7/8/2016,7/4/2016,21:00:00
Davenport,FL,Circle,1800,Pale dim white and blue lights.,7/8/2016,7/4/2016,21:00:00
Channel Islands Point Magu,CA,Circle,600,Was above the Military Base Point Magu Watching the forth of July fireworks,7/8/2016,7/4/2016,20:00:00
