City,State,Shape,Duration,Summary,Posted,Date,Time
Bristol,TN,Triangle,600,"TRIANGLE OVER BRISTOL, TN.",9/9/2013,8/29/2013,22:30:00
Marmora,NJ,Triangle,60,"Three V shaped objects with lights flying over treetops on Route 9 in Marmora, NJ.",9/9/2013,8/28/2013,20:00:00
Huron,SD,Triangle,180,It was flashing different color of lights and moving up and down.,11/14/2014,8/26/2013,8:14:00
Dallas,GA,Triangle,240,"Two Paulding County, GA, witnesses saw triangular craft hovering in the sky on 8/25/13.",8/30/2013,8/25/2013,21:00:00
Ravenna,OH,Triangle,18000,"10PM EST, Driving north on route 88 just passing SR5. I see 3 White lights hovering ahead moving south at a slow speed very low to gro",10/14/2013,8/24/2013,22:00:00
Hollister,CA,Triangle,120,"Black triangle shaped, low flying craft seen in Hollister, CA.",3/11/2016,8/23/2013,20:00:00
Chicago,IL,Triangle,120,Red fireball orbs and about two triangles ascending from chicago lake michigan,8/30/2013,8/22/2013,21:00:00
Gig Harbor,WA,Triangle,120,Bright lights/craft observed flying low over highway.,8/30/2013,8/22/2013,20:45:00
Sebring,OH,Triangle,7200,"We saw multiple triangles and a few disks. Some had flashing lights, some had bright solid lights. One had red arrows that blinked an",8/30/2013,8/21/2013,22:00:00
Smithsburg,MD,Triangle,120,While drivig down the highway I saw three huge lights in a triangle shape hovering over the tree tops on the top of the hill.,8/30/2013,8/20/2013,22:00:00
Bellevue,WI,Triangle,60,"Black triangle UFO w/ dimmed lights traveling with our vehicle at 80 MPH on 172 heading towards Two Rivers,WI",8/30/2013,8/18/2013,21:14:00
Heyburn,ID,Triangle,120,Triangle shaped craft flying at high altitude and speed.,8/30/2013,8/17/2013,23:00:00
Bakersfield,CA,Triangle,15,Three bright lights with bright reddish color.,9/9/2013,8/16/2013,23:00:00
Ceres,CA,Triangle,300,BLUE LIGHTS FORM TRIANGLE OVER CENTRAL CALIFORNIA.,8/30/2013,8/16/2013,23:00:00
Avalon,NJ,Triangle,600,"Large, black, slow moving silent stingray shaped aircraft with 2 bright front headlights- red and green taillight",9/30/2013,8/15/2013,21:30:00
Allentown (Upper Macungie Twsp),PA,Triangle,600,"12 bright orange flashing objects, coming east to west, in staggered formation, slowly disappearing in the sky in Upper Macungie Twsp.",8/30/2013,8/14/2013,21:30:00
Winchendon,MA,Triangle,30,Only seen for a brief 30 seconds and they all traveled same speed and dissappeared at same time.,8/30/2013,8/14/2013,21:00:00
Seminary,MS,Triangle,300,"Saw a triangular, slow moving, and silent craft hovering above highway.",8/30/2013,8/14/2013,20:20:00
Massillon,OH,Triangle,600,"Fireballs over Massillon, Ohio that formed a triangle and took off.",10/23/2013,8/14/2013,19:00:00
Dubuque,IA,Triangle,10,Lights hovering next to Dubuque bridge.,9/10/2014,8/13/2013,23:00:00
East Wenatchee,WA,Triangle,600,3 lights in a triangle shape that were different color from the stars.,8/30/2013,8/13/2013,3:00:00
Woburn,MA,Triangle,3600,Two triangle shaped crafts one with red & green lights the other white/violet lights.,8/30/2013,8/13/2013,1:00:00
Menomonee Falls,WI,Triangle,90,Please click multiple sightings over years in waukesha county with hard evidence!,9/30/2013,8/12/2013,23:00:00
Menomonee Falls,WI,Triangle,90,Please click! UFO orbs observed over MULTIPLE YEARS WITH HARD EVIDENCE! Please help!!!!,9/30/2013,8/12/2013,23:00:00
Lincoln,CA,Triangle,1200,"Triangular red, green and blue glowing & flashing object in Lincoln, CA, night sky.",8/30/2013,8/12/2013,21:30:00
Wichita,KS,Triangle,60,((HOAX?? PROFANITY)) Four bright white horizontal lights turned into a triangle with a red and irane light.,8/30/2013,8/11/2013,22:30:00
Kennebunk,ME,Triangle,180,Observed 3 orange (fiery looking texture) moving in triangular formation in the northeastern sky,8/30/2013,8/11/2013,9:20:00
Vienna,VA,Triangle,60,"Four glowing, moving, orange dots in the sky with three in a triangle",8/30/2013,8/10/2013,23:00:00
Lethbridge (Canada),AB,Triangle,3600,Footsteps heard on the roof and triangular object with lights in the night sky.,8/30/2013,8/10/2013,22:00:00
Columbus,OH,Triangle,900,Saw triangular pattern of Flying objects with red lights,8/30/2013,8/10/2013,21:30:00
Richmond,MI,Triangle,30,Invisible Triangle outlined by lights flew directly over me straight from Selfridge Airforce Base Direction,8/30/2013,8/10/2013,4:00:00
Centerville,GA,Triangle,900,Triangular UFO following a red light.,8/30/2013,8/9/2013,23:00:00
Miami,FL,Triangle,10,"Perfect equilateral triangle lights in the sky, disappeared after about ten seconds",8/30/2013,8/8/2013,21:00:00
Manchester,NH,Triangle,90,Triangle ufo over Manchester/Hooksett,8/30/2013,8/7/2013,21:30:00
West Palm Beach,FL,Triangle,180,At approx. 20:30 hrs EST I watched a comm. aircraft transition (witnessed standard aircraft lights) from N to S just E of Fl coast.,8/30/2013,8/7/2013,20:33:00
Woodbury,MN,Triangle,1200,"A triangular shape with rotating blue and white lights, made an almost musical engine sound, could fly in all directions including shar",8/30/2013,8/7/2013,11:45:00
Fayetteville,NC,Triangle,120,9 to 10 black triangular objects moving at low speed and altitude & a low muffled sound.,8/30/2013,8/6/2013,23:40:00
Fayetteville,NC,Triangle,120,Objects have never seen in our area by me. Almost hover like and moving at a slow speed. Objects were projecting beams of light.,8/30/2013,8/6/2013,23:40:00
Hesperia,CA,Triangle,7,3 red/orangy dot craft spotted over the city of Hesperia california,8/30/2013,8/1/2013,22:00:00
Trenton (Canada),ON,Triangle,300,We were driving on our way to perth ontario essentially on the 401 east from toronto to ottawa. While driving close to may have been a,8/30/2013,8/1/2013,22:00:00
Baltic,CT,Triangle,60,3 very bright bloodred orbs flying in perfect triangular formation and smaller object approaching from opposite direction,8/30/2013,7/30/2013,21:00:00
New York City (Bronx),NY,Triangle,15,HOVERING CRAFTS WITH ORANGE AND RED LIGHTS,8/30/2013,7/29/2013,21:50:00
Casper,WY,Triangle,15,I went out on the front porch while letting my dogs out and while looking up at the stars i detected some moving lights to my right an,8/30/2013,7/29/2013,1:30:00
Langley (Canada),BC,Triangle,20,A triangular shaped craft appeared in the night sky.,8/30/2013,7/28/2013,22:40:00
River Falls,WI,Triangle,480,Three white lights in triangle shape and one red light. Flying very low and very late at night.,11/11/2013,7/28/2013,2:26:00
North Las Vegas,NV,Triangle,900,Triangular shaped aircrafts with a glowing fireball affect in the sky that can hover and glide.,8/30/2013,7/28/2013,0:00:00
Lynn,MA,Triangle,300,Red lights,8/30/2013,7/27/2013,22:00:00
Draper,UT,Triangle,3,"Triangular, translucent object seen in Draper sky",8/30/2013,7/27/2013,21:10:00
LaGrange,OH,Triangle,30,"The bright orange/red triange; all I could do was yelll, &quot;FIREBALL,&quot; STOP THE CAR, but this was no ball.",8/30/2013,7/26/2013,22:30:00
York,PA,Triangle,600,A triangular shaped object with lights was seen moving erratically at a high rate of speed above a busy highway.,8/30/2013,7/26/2013,21:15:00
Akron,OH,Triangle,300,"Large, fast triangle craft",8/30/2013,7/25/2013,9:50:00
Kodiak,AK,Triangle,180,Three white lights triangular shape seen over Pillar Mountain Kodiak Alaska.,8/30/2013,7/25/2013,1:15:00
Wenatchee,WA,Triangle,900,Stayed in one spot and then disapeared.,8/30/2013,7/23/2013,22:40:00
Myrtle Beach,SC,Triangle,2,I saw 3 orange lights that formed a triangle shape in the sky then they vanished.,8/30/2013,7/22/2013,22:00:00
Myrtle Beach,SC,Triangle,5,Orange lights in shape of triangle.,8/30/2013,7/22/2013,22:00:00
Susanville,CA,Triangle,15,"Large craft, appeared to be covered in fire.",8/30/2013,7/20/2013,1:00:00
Roseville,CA,Triangle,40,"Triangular bright lights, moved in a very quick oval across the sky",8/30/2013,7/19/2013,21:00:00
Defiance,OH,Triangle,5,I saw a triangle red green and blue ((deleted word)).,7/22/2013,7/19/2013,2:45:00
Wichita,KS,Triangle,5,It was 5 fiery red balls of light shaped in a triangle. They slowly came on amd was very bright. Lasted around 5 seconds.,7/22/2013,7/17/2013,22:35:00
North Myrtle Beach,SC,Triangle,30,Three points of yellow orange light appeared moving horizontally following a loud boom then disappeared.,7/22/2013,7/17/2013,22:30:00
Wichita,KS,Triangle,45,Triangular shaped light formation.,7/22/2013,7/17/2013,22:30:00
Myrtle Beach,SC,Triangle,30,Orange Orbs Form Equilateral Triangle.,7/22/2013,7/17/2013,22:23:00
San Rafael/Novato,CA,Triangle,180,"Noticed in distance red, white and blue lights on stationary rectangular object., which appeared triangular when we drove under it.",7/22/2013,7/16/2013,21:40:00
Chandler,AZ,Triangle,5,I saw these lights as I was driving from the 101 South onto the 202 East San Tan Freeway. I saw the lights first in front of me as I wa,7/22/2013,7/14/2013,22:50:00
Dallas,TX,Triangle,60,It look triangle in shape off laprada and 635 in Dallas TX with puslating lights.,7/14/2013,7/13/2013,23:09:00
Missoula,MT,Triangle,1800,Rounded triangle craft slowly hovers 200 ft above home,8/30/2013,7/13/2013,23:00:00
Haddon Heights,NJ,Triangle,300,"Triangular craft over Haddon Heights, NJ",7/22/2013,7/13/2013,20:00:00
Bellingham,WA,Triangle,900,"12 strobing white lights, moving south to north, that stopped and got smaller until it appeared to be a constellation.",7/14/2013,7/12/2013,23:45:00
New Castle,VA,Triangle,300,A triangular shaped craft floated through the valley.,7/14/2013,7/12/2013,23:15:00
Cocoa Beach,FL,Triangle,1200,Triangular craft seen going into outer space over Kennedy Space Center.,7/31/2015,7/12/2013,22:30:00
Garland,TX,Triangle,900,UFO sighting near Laprada and 635 Garland Texas 7-13-2014 around 9 pm.,7/20/2014,7/12/2013,21:00:00
Cedar Rapids,IA,Triangle,60,"3 orange lights at dusk, moving in sync just over NW horizon, top two faded before bottom one.",7/14/2013,7/11/2013,20:00:00
San Marcos,CA,Triangle,900,"UFO sighting above San Marcos, CA.",7/14/2013,7/10/2013,23:30:00
Franklin,TN,Triangle,10800,"Witnessing while typing.

 3 dots of what I would call white/clear/holographic forming a triangle rotating 3-dimensionally are still",7/14/2013,7/9/2013,1:01:00
Port Angeles,WA,Triangle,25,Triangular light formation,8/30/2013,7/6/2013,23:00:00
Goshen,UT,Triangle,45,"Triangle shadow with a green light in the center and a green halo, 45 seconds to cover from the south horizon to the north horizon.",7/14/2013,7/6/2013,23:00:00
Fairfax,MN,Triangle,300,Bright-orange-fire-in-sky-moving-formation-same-speed-no-sound-,7/14/2013,7/6/2013,22:00:00
Pataskala,OH,Triangle,300,Triangle UFO near Columbus,7/14/2013,7/6/2013,21:55:00
Columbus,OH,Triangle,300,4 hover lights in sky!,7/14/2013,7/6/2013,21:55:00
Cornwall (Canada),ON,Triangle,20,"A wonderful aircraft, but spooky.",7/14/2013,7/6/2013,0:30:00
Rocky River,OH,Triangle,180,Orange glowing arrowhead observed for approximately 3 minutes in nighttime sky over Cleveland and heading west.,7/14/2013,7/5/2013,23:30:00
Mojave,CA,Triangle,3,Massive triangle object in the night sky.,7/14/2013,7/5/2013,23:20:00
Warren,MI,Triangle,300,"3 orange lights in a triangle not blinking no sound,moving slowly and dissapeared, saw twice in one week,nothing like a plane?",8/30/2013,7/5/2013,23:00:00
Surprise,AZ,Triangle,300,"July 4TH to 5th 2013 ufo, 3 triangle shapes moving in triangle formation over nw phoenix metro area.",7/14/2013,7/5/2013,0:17:00
"Washington, D.C.",DC,Triangle,5,"Triangular shaped object flew across sky during Wash, DC 7/4/13 fireworks display.",9/30/2013,7/4/2013,23:30:00
Everett,WA,Triangle,180,"Triangular object seen moving east to west at an extremely high elevation on July 4, 2013 at 23:00 in Everett, WA.",10/14/2013,7/4/2013,23:00:00
Everett,WA,Triangle,120,A triangular craft with faint gray edges and one white light and one red light was seen traveling slowly at a very high altitude on the,9/30/2013,7/4/2013,23:00:00
The Woodlands,TX,Triangle,300,"2 orange lights type UFOs seen in Houston area on July 4, 2013",7/5/2013,7/4/2013,22:10:00
Lewis Center,OH,Triangle,120,"4 glowing orange triangular objects floating in sky, no sound",7/5/2013,7/4/2013,21:50:00
Pittsburgh,PA,Triangle,300,Red-orange triangular object with large flames flying during fireworks display,7/5/2013,7/4/2013,21:45:00
Knappa,OR,Triangle,120,Triangle shape object moving slowly across tree tops,7/22/2013,7/4/2013,21:40:00
Castle Pines,CO,Triangle,1200,3 bright white lights in triangular shape seen over Denver,7/5/2013,7/4/2013,21:30:00
Tinley Park,IL,Triangle,300,We were in the backyard having a bonfire & we saw strange triangular shaped lights moving pretty slowly across the night sky.,7/14/2013,7/4/2013,21:30:00
Howell,MI,Triangle,180,"Howell, Mi,,,,,,bright object watching fireworks, came back again, left high speed vertical straight up",7/5/2013,7/4/2013,21:30:00
Bartlett,IL,Triangle,600,Paper lanterns in UFO-like formation.,7/5/2013,7/4/2013,17:00:00
Lewiston,ID,Triangle,240,"North to south toward airport. Hovering, low hum, could be a night glider?",7/5/2013,7/4/2013,0:00:00
Mundelein,IL,Triangle,60,Bright glowing orange triangular shaped object gone transparent moving NE.,7/5/2013,7/3/2013,22:35:00
Bowling Green,OH,Triangle,60,"Three reddish or amber lights in form of triangle investigating Bowling Green, Ohio's fireworks display.",7/5/2013,7/3/2013,22:16:00
Princeville,HI,Triangle,180,3 lights in the form of a triangle.,7/5/2013,7/3/2013,21:30:00
Naschitti,NM,Triangle,60,Triangle lights formed and were all moving at the same speed!!!!,7/3/2013,7/2/2013,22:49:00
Cocoa Beach,FL,Triangle,3,White glowing object flys near Kennedy Space Center at an extreme speed,7/14/2013,7/2/2013,21:24:00
University Place,WA,Triangle,600,Red lights on an equilateral object.,7/3/2013,7/2/2013,4:21:00
Blountsville,AL,Triangle,60,Three bright lights in a triangle shape passing over us no sound.,7/3/2013,7/2/2013,1:38:00
Lamar,SC,Triangle,240,((HOAX??)) 4 winged shaped ufos flying 2 or 300 feet with 2 jets flowing and a government car in the middle of the day.,8/30/2013,7/1/2013,2:20:00
Chilliwack (Canada),BC,Triangle,180,"3 lights in sky, appear connected and rotating.",7/3/2013,6/30/2013,23:13:00
Victoria (Canada),BC,Triangle,60,3 bright lights sighted rising in the sky then disappearing.,7/3/2013,6/30/2013,23:00:00
Chattanooga,TN,Triangle,30,Triangle shaped object; pure white in color,7/3/2013,6/29/2013,18:50:00
Parkdale,OR,Triangle,60,Witnessed a triangular shaped craft with bright white lights travel across the sky then quickly shot straight up and disappeared.,7/3/2013,6/28/2013,22:30:00
Evergreen,CO,Triangle,300,"Triangle shape of lights, traveling at a fast speed toward lighting storm.",7/3/2013,6/27/2013,22:30:00
Clearwater,FL,Triangle,120,I think I saw the TR-3B/Aurora aircraft tonight…,7/3/2013,6/27/2013,21:20:00
Greensboro,NC,Triangle,900,3 triangle figures floated quietly across the sky at about 100 feet. The one in the front looked like a arrow it was the biggest it had,7/3/2013,6/24/2013,21:00:00
Roxboro,NC,Triangle,20,Triangular craft flying under 1000 ft and under 100mph RED LIGHT AT CENTER,7/3/2013,6/23/2013,22:30:00
Las Vegas,NV,Triangle,3600,"Red, Blue lights, hovered around, remote control, manmade, but not of any clearly discernable type.",7/3/2013,6/23/2013,1:00:00
Richmond,KY,Triangle,300,"Same triangle same area, same time of night, but a month later.",7/3/2013,6/21/2013,22:30:00
El Cajon,CA,Triangle,900,"21 June 2013 low altitude aerial contact in triangle shape, shifting colors from port & starboard side with 0 noise(trained lookout)USN",7/3/2013,6/21/2013,22:00:00
Canterbury,NH,Triangle,10,3 flying objects with red lights flying from the direction of Shaker Village in Canterbury NH flying towards the north.,7/3/2013,6/20/2013,22:00:00
North Augusta (Canada),ON,Triangle,600,Very large triangular aircraft,7/14/2013,6/20/2013,21:00:00
Nags Head,NC,Triangle,300,3 yellow-green lights moving together across Nags Head and rotating slowly.,7/3/2013,6/19/2013,21:50:00
Sioux City,IA,Triangle,900,A triangular UFO was found hovering in the sky and remained there for several minutes until flying out of sight.,7/3/2013,6/16/2013,22:30:00
Scarborough (Canada),ON,Triangle,120,Fiery Triangular Craft Spotted Over Lake Ontario From Atop the Scarborough Bluffs,7/3/2013,6/16/2013,0:35:00
Ann Arbor,MI,Triangle,5,A triangular shaped craft containing one lit circle at each vertex was spotted flying over a park just after midnight.,7/3/2013,6/16/2013,0:23:00
Fairborn,OH,Triangle,600,"To whom it may concern: ON FRIDAY JUNE 14, 2013 MY SON AND I DECIDED TO TAKE A NIGHT BIKE RIDE WHILE WE WERE RIDING THROUGH TOWN (FAIR",7/3/2013,6/14/2013,23:00:00
Fairborn,OH,Triangle,600,I WAS RIDING MY BIKE WITH MY DAD AND WE NOTICED A BRIGHT FIREY LIGHT IN FAIRBORN OHIO ....THE LIGHT WAS SO BRIGHT AND AS IT GOT CLOSER,7/3/2013,6/14/2013,23:00:00
Fort Wayne,IN,Triangle,120,Triangle shaped object with lights floating in a forward motion stops after we notice it reverses and disappear.,7/3/2013,6/13/2013,23:30:00
Chesire,CT,Triangle,30,"Huge stealth like silent triangular craft no lights, no sound, slow.",7/3/2013,6/11/2013,23:01:00
Ravenna,OH,Triangle,300,Fiery orange object seen flying at night from west to east in a circular pattern.,7/3/2013,6/11/2013,22:00:00
City Height,CA,Triangle,2,"V shape craft with 2 rows of big yellow lights + loud noise pass over City Height, San Diego CA",7/3/2013,6/9/2013,22:20:00
Indianapolis,IN,Triangle,60,Triangle shape formation over Indianapolis.,7/3/2013,6/8/2013,23:30:00
Sault Ste. Marie (Canada),ON,Triangle,180,Two sets of three glowing red lights were moving together across the night sky.,7/3/2013,6/8/2013,23:30:00
Hatboroo,PA,Triangle,60,"STILL TRIANGLE,MOVED SLOWLY,PICKED UP SPEED,SHARP RIGHT TURN AND DISAPPEARED",7/3/2013,6/8/2013,16:02:00
Virginia Beach,VA,Triangle,60,Orange Lights in Triangular Formation over Virginia Beach.,7/3/2013,6/8/2013,11:30:00
Hampstead,NH,Triangle,3,Green cloudy light shooting across the sky,7/3/2013,6/3/2013,9:34:00
Indiana,PA,Triangle,20,"((HOAX?? Contact information is flawed.)) A solid green triangular light sped across the sky, stopped, and continued again.",7/3/2013,6/3/2013,0:15:00
Navarre,FL,Triangle,15,"Triangle ""glided"" over bilboard by my house for 8 scnds then vanished, pursued by 8 emergency vehicles.",7/3/2013,6/1/2013,23:00:00
Versailles,KY,Triangle,300,Fireball in sky followed by large craft well lite .,6/2/2013,5/31/2013,23:20:00
Cassadaga,NY,Triangle,480,"We had 2 sightings of multiple craft within .25 mi area, within a span of one minute, 2 very different types of craft.",8/30/2013,5/31/2013,21:30:00
Green Island,NY,Triangle,4,Triangle Shaped Object Glowing Orange/Yellow And Completely Silent - Object Very Large & Very Fast.,12/23/2013,5/31/2013,10:00:00
Charleston,WV,Triangle,10,Blue Triangle over WV.,7/3/2013,5/30/2013,23:30:00
Point Richmond,CA,Triangle,5,1 person witnesses a dark triangular UFO with lights in a star-like cluster that crosses 1/3 of sky in about 5 seconds.,6/2/2013,5/30/2013,22:15:00
Moore,OK,Triangle,172800,"Multiple ufo sightings in the past 48 hours, detailed notes and drawings.",6/2/2013,5/29/2013,23:30:00
Sullivan City,TX,Triangle,300,Triangle object flying over my house in South Texas.,6/2/2013,5/26/2013,23:25:00
Peoria,AZ,Triangle,3600,3 white dot triangle.,6/2/2013,5/26/2013,20:00:00
Butte,MT,Triangle,600,3 white lights in a triangle formation.,6/2/2013,5/25/2013,22:30:00
Plainfield,IL,Triangle,300,"Three exremely large white bright lights in the shape of an obtuse triangle hovering over Joliet and could be seen from Plainfield, IL.",6/2/2013,5/25/2013,0:00:00
Midlothian,IL,Triangle,300,Group of orange lights flying close together,6/2/2013,5/24/2013,21:00:00
Lubbock,TX,Triangle,300,Yellow lights on a triangle loud noises.,6/2/2013,5/22/2013,19:02:00
Lubbock,TX,Triangle,300,8 yellow lights,6/2/2013,5/22/2013,19:00:00
Sacramento,CA,Triangle,1800,At 5:39 pm I was in my backyard and saw lights out of the corner of my eye and looked up in the sky to see a triangular craft with 8 ye,6/2/2013,5/22/2013,17:39:00
Whitney,TX,Triangle,3600,"Very strange, big, bright lights, moving quickly, slowly, and also hovering that change directions quickly.",6/2/2013,5/21/2013,23:00:00
South Palm Beach,FL,Triangle,1200,Was driving north on the Florida turnpike. My son seen it in front of us lit with a blue aura on top and white on the bottom. It was,6/2/2013,5/19/2013,22:00:00
Carol Stream,IL,Triangle,7,Orange Triangular Object Over Carol Stream IL,6/2/2013,5/19/2013,21:05:00
Burgaw,NC,Triangle,3,Gigantic Triangle Craft,7/14/2013,5/19/2013,19:15:00
North Hollywood,CA,Triangle,900,Black triangular shape made up of 3 circles floating near Burbank Airport.,6/2/2013,5/18/2013,20:00:00
Bellport,NY,Triangle,1800,3 sightings by me the 2 by a friend 2 sightings were 3 orange lights in a triangle formation. The third was a horizontal. All 3 sightin,6/2/2013,5/17/2013,21:15:00
Ogden,UT,Triangle,15,low flying silent triangular object with no lights.,6/2/2013,5/16/2013,22:10:00
Chicago,IL,Triangle,8,3 orbs in triangle formation (or 3 lights on a really big triangle?) over Chicago going NE to SW,6/2/2013,5/16/2013,21:30:00
Richmond,KY,Triangle,180,UFO Sighted Outside of Richmond KY.,7/3/2013,5/16/2013,10:20:00
Richmond,VA,Triangle,30,"9-10 circular lights in triangle formation off Chamberlayne exit RICHMOND, VA.",7/3/2013,5/16/2013,1:00:00
Franklin,TN,Triangle,10,"Black Triangle Sighting in Franklin Tennessee, May 14, 2013",6/2/2013,5/14/2013,21:00:00
Frankfort,IL,Triangle,120,Three red/orange objects in tight triangular formation flying low and slow north to south.,5/15/2013,5/11/2013,23:00:00
Ainsworth,IA,Triangle,120,"2 Triangle shaped crafts with red lights over Ainsworth, Iowa.",6/2/2013,5/11/2013,22:00:00
Bullhead,AZ,Triangle,30,"4D Triangle with neon green lights at the points in the desert behind Bullhead City, AZ.",1/12/2018,5/10/2013,22:00:00
Des Moines,IA,Triangle,300,Triangular UFO seen by family of 6 just south of Des Moines on I35.,5/15/2013,5/10/2013,21:09:00
Los Angeles,CA,Triangle,30,2 black triangular craft spotted traveling east near downtown Los Angeles.,10/29/2015,5/10/2013,14:00:00
St. Charles,MO,Triangle,600,Triangular shaped UFo with 3 lights around it,5/15/2013,5/9/2013,21:05:00
Mishawaka,IN,Triangle,5,Red light triangle over Indiana,6/2/2013,5/9/2013,2:32:00
Meadowview,VA,Triangle,600,Triangular with chasing lights.,5/15/2013,5/8/2013,23:41:00
Onaway,MI,Triangle,60,Saw two jets in pursuit of craft or crafts.,1/30/2014,5/8/2013,21:47:00
Springfield,IL,Triangle,3600,Triangle with with red/blue/yellow lites.,5/15/2013,5/8/2013,0:00:00
Cresco,IA,Triangle,5,Silent and very fast triangular craft that was out of sight within a few seconds.,5/15/2013,5/6/2013,23:00:00
Austin,TX,Triangle,10,V shaped craft flew over in and out of clouds clearly visible that the lights were on one craft. 7 lights total with two out on a side.,5/15/2013,5/5/2013,22:00:00
Wylie,TX,Triangle,45,"Large triangle over head, white lights in corners, big and fast.",5/15/2013,5/5/2013,21:30:00
Pittsfield,MA,Triangle,480,"Hovering object over Pittsfield, MA.",5/15/2013,5/5/2013,12:00:00
Regina (Canada),SK,Triangle,240,"Black soft triangular shaped ufo, three white lights near each tip seen slowly moving in general southward heading over Regina Sk, Can.",5/15/2013,5/5/2013,0:43:00
Austin,TX,Triangle,10,Triangle ufo over austin tx. 9:35 pm may 4th .,5/15/2013,5/4/2013,21:35:00
Aurora,OR,Triangle,120,Three lights forming an equalateral triangle appeared and then disappeared while never changing position.,5/15/2013,5/4/2013,21:10:00
Huntington Beach,CA,Triangle,9,Extremely fast moving triangular craft with white spheres observed over Huntington Beach. ((NUFORC Note: Pilot report. PD)),5/15/2013,5/3/2013,21:15:00
Hiawatha/Cedar Rapids,IA,Triangle,18000,"Multi-colored triangle, seen on multiple occasions and by multiple witnesses, this is not isolated to one day.",6/2/2013,5/3/2013,20:00:00
West Jordan,UT,Triangle,15,There was a shadow of a triangle moving across the field but no aircraft above.,5/15/2013,5/3/2013,13:30:00
Elmont,NY,Triangle,1800,Hovering in the sky still as I'm writing been there about 35 mins now. Lights change pattern so triangle appears to get bigger.,5/15/2013,5/1/2013,21:25:00
Rockville,MD,Triangle,300,"Green triangle, and flashing lights.",9/9/2013,5/1/2013,0:00:00
Carteret,NJ,Triangle,120,Craft still in sky in same position as 1 hour ago. ((NUFORC Note: Possible star?? PD)),5/15/2013,4/30/2013,23:10:00
Carteret,NJ,Triangle,1200,"Large triangle object with rotating colored lights, motionless.",5/15/2013,4/30/2013,22:28:00
Smithton,MO,Triangle,3600,Hovering Triangles and Lights in Smithton,5/15/2013,4/30/2013,21:40:00
Cambridge,MN,Triangle,600,There were triangle shaped amber lights hovering over the trees.,5/15/2013,4/30/2013,9:30:00
Chattanooga,TN,Triangle,240,"8-10 moving lighted objects traveling slowly without sound, northeast orangish in color,4-5 minutes then disappearing.",5/15/2013,4/28/2013,21:00:00
Caldwell,ID,Triangle,7200,Family and I were at the Caldwell drive in last night and I wasn't paying to much attention to the movie. I wasstaring at the stars.,5/15/2013,4/27/2013,23:30:00
Edmond,OK,Triangle,600,Red lights forming a triangle in Logan County Oklahoma 04/27/2013.,6/2/2013,4/27/2013,21:40:00
Talahassee,FL,Triangle,600,"My sister and I were driving north on I-10 outside of Talahasee, Fl 4/27/13 and saw two triangle objects very close together and not mo",5/15/2013,4/27/2013,13:00:00
Boise,ID,Triangle,20,This was he third UFO I have seen over Boise in the past eight months. Last night I saw the classic triangle UFO traveling north over C,5/15/2013,4/26/2013,22:15:00
Lynchburg,VA,Triangle,600,Lights in the sky,5/15/2013,4/26/2013,22:00:00
Quincy,MA,Triangle,3600,Two unidentified triangular objects circling 02169,5/15/2013,4/26/2013,3:30:00
Acton,ME,Triangle,240,Black triangular silent craft with 3 white blinking lights on corners and one red one in center.,5/15/2013,4/25/2013,20:45:00
Cherry Grove,SC,Triangle,1800,My wife and I both witnessed a HUGE Triangular craft with 3 lights then 30 orange/yellow orbs in the same vacinity,6/2/2013,4/25/2013,20:00:00
Grainfield,KS,Triangle,300,"I seen 3 flashing red lights in shape of a triangle again, but over by Grainfield instead of Park headed south. This is the forth one",5/15/2013,4/24/2013,22:00:00
Glendale,AZ,Triangle,900,"Changing color UFO, sighted 4/24/13 near Glendale, AZ. Recording at 9pm Arizona time.",5/15/2013,4/24/2013,21:00:00
Clinton,NY,Triangle,120,"Three white constant bright lights one red blinking light next to white front one , made triangular shape. quiet and slow.",5/15/2013,4/23/2013,23:00:00
Lexington,NC,Triangle,60,"Black gliding air craft, blue and red light at the end of wings, flying low.",5/15/2013,4/23/2013,22:00:00
London,KY,Triangle,600,My son and I saw a triangle shaped object while watching for meteors..,5/15/2013,4/23/2013,21:00:00
Ypsilanti,MI,Triangle,60,Low and slow moving with red and white lights,5/15/2013,4/23/2013,3:15:00
Litchfield,ME,Triangle,30,"A ""star"" that started moving across the sky",5/15/2013,4/22/2013,21:00:00
Chandler,AZ,Triangle,2700,Triangle amber yellow lights over Chandler Arizona,5/15/2013,4/21/2013,20:30:00
Vernon Hills,IL,Triangle,60,Unusual Red Triangular Light Formation,5/15/2013,4/20/2013,21:25:00
Santa Monica,CA,Triangle,20,Triangle UFO over Santa Monica heading East.,5/15/2013,4/19/2013,10:05:00
Bartlett,IL,Triangle,300,Triangle and lights flashing.,5/15/2013,4/17/2013,0:00:00
Amston (Hebron),CT,Triangle,30,I was walking my dog around Amston Lake when I noticed a low flying triangle with three lights (one on each corner and one of them blin,5/15/2013,4/16/2013,19:20:00
Albion,IN,Triangle,180,"Low, hovering, triangular, Four lights on front, red and white, one or two on the back, none on the bottom.",5/15/2013,4/15/2013,23:35:00
Mineral Wells,WV,Triangle,600,I saw a triangular shaped craft over Chesterville road in Mineral Wells WV. Am I the only one?,1/16/2015,4/15/2013,20:00:00
Fernley,NV,Triangle,300,Three white triangular shaped aircrafts?,5/15/2013,4/12/2013,13:00:00
